threshold,summary_floor,chunk_n,merge_n,floor_applied_n,Chunk_num_mean,Text_len_mean,Text_len_std,Summary_len_mean,Summary_len_std,Red_mean,Red_std,FirmRed_mean,FirmRed_std,loss,chunk_n_diff
1300,90,8732,174,614,17.302565277141547,3868.952817224004,361.56125152600424,134.16788822721026,30.639288372389316,30.142125336519378,6.758524249393284,28.837613793918056,2.0988096267548224,0.10427573352527338,49
700,60,8817,89,84,17.44663717817852,3831.654304185097,442.7796854584837,131.78632187818985,29.75660381801826,30.710991677653904,8.803410828515426,29.078609149323935,2.255622972838801,0.10474868299883182,134
1000,80,8772,134,389,17.37140902872777,3851.310533515732,395.10497806304,132.9809621523028,29.953062168439168,30.39099564390487,7.51800738776555,28.96443109999179,2.173881796323216,0.10475442256921186,89
800,70,8801,105,206,17.421997500284057,3838.6201568003635,425.0109804977481,132.2006590160209,29.736803100813606,30.580446001969467,8.227811303095564,29.04028982359583,2.2243852082699127,0.10569066207249214,118
600,30,8829,77,0,17.461207384754786,3826.446483180428,456.8994675709503,131.55283724091063,29.533153176487772,30.758377098112938,9.17040396328741,29.089823721294763,2.265208557371326,0.10618486005826058,146
600,0,8829,77,0,17.461207384754786,3826.446483180428,456.8994675709503,131.55283724091063,29.533153176487772,30.758377098112938,9.17040396328741,29.089823721294763,2.265208557371326,0.10618486005826058,146
2300,100,8584,322,1024,17.06314072693383,3935.65890027959,341.7447238525019,137.42672413793105,35.7589276947448,29.913023838512355,5.839492856023033,28.635213071058484,1.9806743609732784,0.10665469471791422,-99
2400,100,8571,335,1024,17.041302065103256,3941.628281414071,348.43114825798943,137.6351650915879,36.29518253878995,29.924757538966453,5.826456740614287,28.635213071058484,1.9806743609732784,0.1066688004576781,-112
600,50,8829,77,12,17.461207384754786,3826.446483180428,456.8994675709503,131.56008607996375,29.51204390840891,30.744324034909045,9.081527156983281,29.088519803420137,2.264135526772826,0.10707026977244397,146
2500,100,8551,355,1024,17.003976143141152,3950.8473862706114,361.3499918214562,137.95708104315284,37.21806335126863,29.944639253897353,5.807656676982518,28.635213071058484,1.9806743609732784,0.10911513944390701,-132
2200,100,8598,308,1024,17.087229588276344,3929.2505233775296,335.9694616538375,137.20295417538964,35.15301113097232,29.90008623045316,5.8578608762958035,28.635213071058484,1.9806743609732784,0.10911666493849062,-85
1200,90,8748,158,615,17.33081847279378,3861.8765432098767,373.922188097229,133.92318244170096,29.874150839366976,30.117822909563962,6.793071652458355,28.837443955554,2.0986583602606976,0.10950292533984152,65
600,60,8829,77,84,17.461207384754786,3826.446483180428,456.8994675709503,131.60720353380904,29.39195342098137,30.686566506579954,8.831556639318181,29.078609149323935,2.255622972838801,0.10993750617541327,146
900,80,8790,116,390,17.397042093287826,3843.423890784983,413.06415699108265,132.71092150170648,29.35896930357385,30.361481119509623,7.558478992023715,28.963855047842067,2.172964674405851,0.11132458668904097,107
2100,100,8614,292,1024,17.11585790573485,3921.9521708846064,331.6108099575002,136.94810773159972,34.40003733563923,29.88253428525036,5.878980096932916,28.635213071058484,1.9806743609732784,0.11143371204306123,-69
500,0,8842,64,0,17.482243836236147,3820.82062881701,472.81530278085455,131.35942094548744,29.223270187349847,30.733820988636694,9.202885020445676,29.089823721294763,2.265208557371326,0.1117189857471459,159
500,30,8842,64,0,17.482243836236147,3820.82062881701,472.81530278085455,131.35942094548744,29.223270187349847,30.733820988636694,9.202885020445676,29.089823721294763,2.265208557371326,0.1117189857471459,159
700,70,8817,89,208,17.44663717817852,3831.654304185097,442.7796854584837,131.9612112963593,29.36450846404163,30.55349041979486,8.264532998011239,29.040144977514338,2.224382742314131,0.11197688260322869,134
2000,100,8624,282,1025,17.12708719851577,3917.404452690167,329.95161373925765,136.78965677179963,33.93734367232277,29.871484951265906,5.892103891607801,28.6350992255866,1.9805651860963858,0.1125952653481422,-59
500,50,8842,64,12,17.482243836236147,3820.82062881701,472.81530278085455,131.36665912689438,29.20201624275803,30.719788587027647,9.114418011125887,29.088519803420137,2.264135526772826,0.11260121027989385,159
1600,100,8699,207,1028,17.253822278422806,3883.6298425106334,342.09510780443804,135.6125991493275,30.896069000583324,29.788710035772137,6.011828303780185,28.634629095482737,1.9803122165125981,0.11302305932699694,16
