sec_code,sec_name,year,raw_glm4_tokens,dewrap_join_glm4_tokens,dewrap_space_glm4_tokens,dewrap_join_compact_chars
688153,唯捷创芯,2022,32718,28643,30354,44789
688302,海创药业,2022,81170,72458,76504,113167
688125,安达智能,2022,56614,50298,53062,79602
688326,经纬恒润,2022,55415,48916,51918,78248
688072,拓荆科技,2022,32685,29079,30622,46547
688209,英集芯,2022,57372,49031,52863,73343
688279,峰岹科技,2022,38872,33950,36230,53602
688046,药康生物,2022,59111,51769,55291,80445
688052,纳芯微,2022,57387,50269,53598,77096
688325,赛微微电,2022,34802,30888,32853,48277
688290,景业智能,2022,58079,50364,53739,76612
688320,禾川科技,2022,58237,52122,54904,81450
688170,德龙激光,2022,66277,59562,61928,88270
688213,思特威,2022,45929,40322,42774,65504
688045,必易微,2022,44884,39309,41942,60972
688327,云从科技,2022,79937,69832,74661,113241
688119,中钢洛耐,2022,72202,63080,67484,93826
688251,井松智能,2022,44741,38914,41833,60994
688120,华海清科,2022,53236,47369,50127,73163
688348,昱能科技,2022,51055,44483,47181,70302
688349,三一重能,2022,146668,129855,137502,181382
688047,龙芯中科,2022,35381,31171,33192,48411
688297,中无人机,2022,52564,45892,48913,74546
688237,超卓航科,2022,43434,38407,40935,60470
688400,凌云光,2022,70918,62860,66475,97581
688322,奥比中光,2022,14100,12238,13028,18801
688053,思科瑞,2022,62758,55184,58715,86631
688353,华盛锂电,2022,49519,42986,46127,65606
688332,中科蓝讯,2022,51617,46128,48663,70880
688231,隆达股份,2022,70779,63151,66715,97576
688375,国博电子,2022,53327,46577,49638,72131
688382,益方生物,2022,94540,83868,88398,128929
688253,英诺特,2022,66725,57607,62040,88696
688130,晶华微,2022,41404,35978,38536,55561
688371,菲沃泰,2022,59648,52129,55372,78323
688373,盟科药业,2022,70887,63164,66735,99890
688380,中微半导,2022,40213,34492,36670,53791
688205,德科立,2022,52660,45662,48571,67682
688273,麦澜德,2022,37899,33756,36360,53891
688041,海光信息,2022,38905,34616,36613,56601
688203,海正生材,2022,88078,77990,82720,121279
688292,浩瀚深度,2022,60972,54676,56709,86814
688401,路维光电,2022,51898,47380,49089,70397
688403,汇成股份,2022,43828,38789,40940,60333
688271,联影医疗,2022,94284,81121,87027,125486
688381,帝奥微,2022,54268,48049,51009,73191
688370,丛麟科技,2022,75224,65842,70056,99188
688247,宣泰医药,2022,80497,71391,75760,107185
688439,振华风光,2022,36462,31421,33580,49554
688416,恒烁股份,2022,60980,53843,57047,84225
688351,微电生理,2022,56768,49260,52576,77366
688293,奥浦迈,2022,49447,42861,45843,66142
688114,华大智造,2022,41899,35945,38341,60220
688391,钜泉科技,2022,71322,63341,66948,98146
688455,科捷智能,2022,77453,68088,72555,100893
688035,德邦科技,2022,52674,46069,49086,69348
688184,帕瓦股份,2022,35396,30976,33058,47028
688448,磁谷科技,2022,46616,41049,43940,61752
688428,诺诚健华,2022,86411,76250,80030,117398
688132,邦彦技术,2022,61806,53680,58048,85333
688387,信科移动,2022,93536,81941,87606,124315
688392,骄成超声,2022,64386,56668,60742,91924
688252,天德钰,2022,44560,38394,40969,59405
688275,万润新能,2022,73791,64489,68801,94794
688137,近岸蛋白,2022,72269,61988,66247,100075
688409,富创精密,2022,33865,29518,31414,44724
688073,毕得医药,2022,77024,68735,72875,108764
688459,哈铁科技,2022,76649,67451,72024,104226
688031,星环科技,2022,81322,71792,76037,122851
688061,灿瑞科技,2022,50840,44916,47142,67926
688244,永信至诚,2022,77693,68160,71778,106416
688291,金橙子,2022,52500,45647,48879,72105
688152,麒麟信安,2022,60978,53027,56755,87236
688426,康为世纪,2022,66974,57970,62213,92142
688372,伟测科技,2022,46590,40439,43584,63890
688419,耐科装备,2022,65094,56937,60840,88462
688432,有研硅,2022,49656,43415,46113,63613
688362,甬矽电子,2022,51491,45485,47923,67899
688376,美埃科技,2022,7913,6622,7243,11003
688480,赛恩斯,2022,74303,64538,69472,101025
688489,三未信安,2022,50608,44633,47331,69878
688084,晶品特装,2022,67357,58242,62787,88821
688143,长盈通,2022,75052,66308,70406,105488
688420,美腾科技,2022,64776,57217,60819,86667
688503,聚和材料,2022,37645,33334,35557,51187
688172,燕东微,2022,56829,50646,53591,76063
688498,源杰科技,2022,48180,42458,45193,63535
688141,杰华特,2022,44280,38858,41343,62106
688147,微导纳米,2022,44915,40390,42144,61011
688410,山外山,2022,54703,48717,51572,77248
688475,萤石网络,2022,66807,58883,62542,94944
688496,清越科技,2022,48392,43850,45668,67200
688525,佰维存储,2022,64110,54992,58956,85380
688506,百利天恒,2022,129054,113728,120871,170516
688562,航天软件,2023,60218,52392,56231,84196
688593,新相微,2023,38574,34021,36022,55569
688523,航天环宇,2023,58895,52026,55080,79352
688570,天玛智控,2023,97435,85467,91348,133667
688576,西山科技,2023,89052,77873,83504,117038
688623,双元科技,2023,71593,62518,66809,95397
688472,阿特斯,2023,60866,54002,56943,83456
688334,西高院,2023,92744,82014,87141,132132
688443,智翔金泰,2023,70256,62240,65780,93981
688543,国科军工,2023,39974,35125,37330,53935
688620,安凯微,2023,36682,32530,34487,51889
688629,华丰科技,2023,61385,53897,57409,83029
688631,莱斯信息,2023,85022,72922,78842,117652
688429,时创能源,2023,38519,33628,35950,51305
688582,芯动联科,2023,48485,42559,45132,67012
688603,天承科技,2023,60149,53766,56596,80400
688638,誉辰智能,2023,54636,47918,51392,73840
688610,埃科光电,2023,64332,56574,60462,90020
688627,精智达,2023,41239,36184,38656,56951
688563,航材股份,2023,54610,47664,51105,69369
688602,康鹏科技,2023,71273,62972,66944,95704
688450,光格科技,2023,10123,8988,9702,15287
688612,威迈斯,2023,104991,87391,94698,128959
688651,盛邦安全,2023,46336,40068,43295,66811
688646,逸飞激光,2023,49544,43400,46266,66907
688347,华虹公司,2023,24967,22173,23497,35624
688671,碧兴物联,2023,59703,51623,55452,80975
688592,司南导航,2023,54527,48112,51042,76772
688548,广钢气体,2023,39024,34193,36297,53128
688573,信宇人,2023,51751,45164,48718,68572
