sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy,source_shard
688676,金盘科技,1209331503,金盘科技首次公开发行股票并在科创板上市招股说明书,2021-03-04,final_prospectus,ok,115781,20,20,20,115781,5183,74715,2595,954,110,221,0.3104412777655865,-5.55,2.357927905481189,169,225,160,179,181,40,True,token_proxy,28.791907514450862,28.791907514450862,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688083,中望软件,1209347204,中望软件首次公开发行股票并在科创板上市招股说明书,2021-03-08,final_prospectus,ok,128097,21,21,21,128097,4759,80901,2384,1239,105,198,0.171079948037622,-4.428571428571429,1.9867291787853565,205,262,191,383,162,36,True,token_proxy,33.93498322147651,33.93498322147651,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688316,青云科技,1209353886,青云科技首次公开发行股票并在科创板上市招股说明书,2021-03-09,final_prospectus,ok,119834,20,20,20,119834,4211,75099,2113,1076,86,133,0.1911976473141656,-2.35,1.9192508768316685,340,207,132,209,113,20,True,token_proxy,35.54141031708471,35.54141031708471,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688456,有研粉材,1209371603,有研粉材首次公开发行股票并在科创板上市招股说明书,2021-03-12,final_prospectus,ok,86892,15,15,15,86892,3463,57539,1736,780,80,148,0.2250231816040386,-4.533333333333333,1.867771995338736,206,201,121,104,105,43,True,token_proxy,33.14458525345622,33.14458525345622,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
688616,西力科技,1209371610,西力科技首次公开发行股票并在科创板上市招股说明书,2021-03-12,final_prospectus,ok,80151,14,14,14,80151,3227,54162,1616,903,71,300,0.2722794287600772,-16.357142857142858,2.0389605503441137,173,202,128,100,269,31,True,token_proxy,33.51608910891089,33.51608910891089,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
688092,爱科科技,1209385390,爱科科技首次公开发行股票并在科创板上市招股说明书,2021-03-16,final_prospectus,ok,99303,17,17,17,99303,3835,63026,1920,903,92,235,0.3242983249340468,-8.411764705882353,2.3687495983872218,148,218,164,138,168,67,True,token_proxy,32.82604166666667,32.82604166666667,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
688609,九联科技,1209393690,九联科技首次公开发行股票并在科创板上市招股说明书,2021-03-17,final_prospectus,ok,168907,28,28,28,168907,6981,108023,3499,1532,138,453,0.274541937160195,-11.25,2.063318026130306,281,379,234,185,415,38,True,token_proxy,30.872535010002856,30.872535010002856,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
688633,星球石墨,1209410747,星球石墨首次公开发行股票并在科创板上市招股说明书,2021-03-19,final_prospectus,ok,62402,11,11,11,62402,2699,41495,1351,647,57,171,0.2145412084928213,-10.363636363636363,1.8585287173996852,127,148,115,86,124,47,True,token_proxy,30.714285714285715,30.714285714285715,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
688606,奥泰生物,1209410745,奥泰生物首次公开发行股票并在科创板上市招股说明书,2021-03-19,final_prospectus,ok,107662,18,18,18,107662,4511,67984,2258,970,91,230,0.269770869138358,-7.722222222222222,2.1195621007109455,164,248,155,111,183,47,True,token_proxy,30.108060230292296,30.108060230292296,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
688195,腾景科技,1209420396,腾景科技首次公开发行股票并在科创板上市招股说明书,2021-03-22,final_prospectus,ok,76934,13,13,13,76934,3343,50980,1674,746,67,120,0.1677921444287668,-4.076923076923077,1.9864708517815728,127,191,127,123,89,31,True,token_proxy,30.45400238948626,30.45400238948626,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
