code,segment_target_year,NumIndSeg_count,NumIndSeg_count_main,NumIndSeg_count_operating,NumIndSeg_source,NumIndSeg,NumIndSeg_ln_count,NumProdSeg_count,NumProdSeg_count_main,NumProdSeg_count_operating,NumProdSeg_source,NumProdSeg,NumProdSeg_ln_count
688561,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688566,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,6.0,,6.0,operating_revenue_fallback,1.9459101490553132,1.791759469228055
688567,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688568,2020,6.0,,6.0,operating_revenue_fallback,1.9459101490553132,1.791759469228055,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688569,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055
688571,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688577,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688578,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0
688579,2020,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688580,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688585,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688586,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688588,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688589,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688590,2020,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688595,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688596,2020,7.0,7.0,,main_business_revenue,2.0794415416798357,1.9459101490553132,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688598,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688599,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,4.0,main_business_revenue,1.791759469228055,1.6094379124341003
688600,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688608,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688618,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688658,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,7.0,7.0,,main_business_revenue,2.0794415416798357,1.9459101490553132
688668,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688678,2020,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688679,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
