sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Cmdeq_sum_adj,474,-0.11864196835443039,0.16282177027218353,-0.19417050000000002,-0.10023549999999998,-0.016616500000000034,471,-0.036,0.514,-0.385,-0.17,0.162,0.8730306980822469,0.43921050000000006
w2_2019_2022,BHARwk_within365_Wretwd_Mdos_sum_adj,215,-0.12729417209302324,0.15468884162324464,-0.223317,-0.10301800000000011,-0.03536699999999999,471,-0.036,0.514,-0.385,-0.17,0.162,0.8766373304697785,0.4260319999999999
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Cmdtl_sum_adj,474,-0.1316482974683544,0.16396491506243466,-0.20098075,-0.1103985,-0.027465749999999983,471,-0.036,0.514,-0.385,-0.17,0.162,0.8787698824059198,0.4330865
w2_2019_2022,BHARwk_within365_Wretwd_Mdeq_sum_adj,215,-0.12800868837209303,0.15053111141961606,-0.21867050000000002,-0.09761099999999998,-0.02898949999999998,471,-0.036,0.514,-0.385,-0.17,0.162,0.885185576952477,0.429708
w2_2019_2022,BHARwk_within365_Wretwd_Mdtl_sum_adj,215,-0.12853051627906978,0.15203190505404798,-0.2174615,-0.1042520000000001,-0.03710199999999998,471,-0.036,0.514,-0.385,-0.17,0.162,0.8868871112250217,0.43238849999999995
w2_2019_2022,BHARwk_within365_Wretwd_Cmdeq,215,-0.40804124359086846,0.7026663756462076,-0.4535551792541628,-0.1968706295188858,-0.07333206066606729,471,-0.036,0.514,-0.385,-0.17,0.162,0.8914654886761919,0.33075786943911584
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Mdos_sum_adj,474,-0.10368692194092827,0.14773295862955596,-0.17686875000000002,-0.0835195,-0.008777499999999931,471,-0.036,0.514,-0.385,-0.17,0.162,0.8993432133113723,0.46538925
w2_2019_2022,BHARwk_within365_Wretwd_Cmdtl,215,-0.42193335121654985,0.6457747118662471,-0.45680534208911483,-0.22319449762597754,-0.09494607630745067,471,-0.036,0.514,-0.385,-0.17,0.162,0.8996539791053401,0.381945916022543
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Mdtl_sum_adj,474,-0.10485222573839661,0.14695764308162915,-0.17739125,-0.08414250000000001,-0.010433000000000003,471,-0.036,0.514,-0.385,-0.17,0.162,0.9017938326567675,0.46589925
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Mdeq_sum_adj,474,-0.1025932299578059,0.14971532090547957,-0.17165475000000005,-0.07906350000000006,-0.013554999999999942,471,-0.036,0.514,-0.385,-0.17,0.162,0.9107146590523262,0.47983674999999987
w2_2019_2022,BHARwk_within365_Wretwd_Cmdos,215,-0.43140288945855404,0.6608308114491862,-0.448444496179431,-0.23343367930940007,-0.0998625872972046,471,-0.036,0.514,-0.385,-0.17,0.162,0.9309744636937759,0.38874076278603564
w2_2019_2022,BHARwk_first52_Wretwd_Cmdos_sum_adj,474,-0.14705765400843884,0.13441970950837365,-0.20488875000000006,-0.12920449999999994,-0.058378250000000007,471,-0.036,0.514,-0.385,-0.17,0.162,0.9319229445000652,0.44128500000000004
w2_2019_2022,BHARwk_first52_Wretwd_Cmdtl_sum_adj,474,-0.1442667953586498,0.13136321001026566,-0.20234025,-0.126915,-0.056016250000000004,471,-0.036,0.514,-0.385,-0.17,0.162,0.9346645853483843,0.44376100000000007
w2_2019_2022,BHARwk_first52_Wretwd_Cmdeq_sum_adj,474,-0.1252655717299578,0.13143952668583178,-0.17897850000000004,-0.10913149999999991,-0.0449385,471,-0.036,0.514,-0.385,-0.17,0.162,0.945654545044126,0.4738285000000001
w2_2019_2022,BHARwk_first52_Wretwd_Mdeq_sum_adj,474,-0.10836833122362868,0.12187479252066687,-0.15211175000000002,-0.09289,-0.034331750000000036,471,-0.036,0.514,-0.385,-0.17,0.162,0.9708235387029619,0.5063300000000001
w2_2019_2022,BHARwk_first52_Wretwd_Mdos_sum_adj,474,-0.10977188185654009,0.1201960364107085,-0.15934800000000005,-0.08942149999999996,-0.038821500000000016,471,-0.036,0.514,-0.385,-0.17,0.162,0.9746278454458316,0.5070520000000001
w2_2019_2022,BHARwk_first52_Wretwd_Mdtl_sum_adj,474,-0.11044215611814345,0.11966650117361223,-0.15943149999999995,-0.08851099999999995,-0.04066625000000002,471,-0.036,0.514,-0.385,-0.17,0.162,0.9784994049445314,0.5097237500000001
