Stkcd,Accper,StateTypeCode,A001,A002,A001219,code,Accper_dt,fin_year,B001101,B0011,B001201,B002,sec_code,sec_name,listing_year,revenue_target_year,pre_target_year,pre_year_gap,strict_lag1
688069,2018-12-31,A,298098491.37,64424973.01,,688069,2018-12-31,2018,207584958.79,207584958.79,88657556.94,80236980.96,688069,德林海,2020.0,491462653.23,2019.0,1.0,False
688069,2017-12-31,A,207191116.42,112754579.02,,688069,2017-12-31,2017,118635788.99,118635788.99,51366510.75,30523394.11,688069,德林海,2020.0,491462653.23,2019.0,2.0,False
688070,2019-12-31,A,372892457.98,103785454.56,,688070,2019-12-31,2019,210760336.53,210760336.53,91651873.45,42269238.81,688070,纵横股份,2021.0,287307583.88,2020.0,1.0,False
688070,2018-12-31,A,171920951.22,48913586.61,,688070,2018-12-31,2018,116574331.32,116574331.32,42004570.08,23942168.6,688070,纵横股份,2021.0,287307583.88,2020.0,2.0,False
688070,2017-12-31,A,131109531.69,33169335.68,,688070,2017-12-31,2017,103386965.35,103386965.35,29998919.24,13609469.6,688070,纵横股份,2021.0,287307583.88,2020.0,3.0,False
688071,2020-12-31,A,587428482.53,373950515.87,,688071,2020-12-31,2020,301903232.89,301903232.89,171264010.28,44850680.23,688071,华依科技,2021.0,336799572.35,2020.0,0.0,True
688071,2019-12-31,A,488443238.06,319942368.45,,688071,2019-12-31,2019,295935178.35,295935178.35,171117661.34,40204740.38,688071,华依科技,2021.0,336799572.35,2020.0,1.0,False
688071,2018-12-31,A,423333988.98,375396537.84,,688071,2018-12-31,2018,204501371.12,204501371.12,129598504.77,8664427.88,688071,华依科技,2021.0,336799572.35,2020.0,2.0,False
688072,2021-12-31,A,2517728208.91,1324390602.63,,688072,2021-12-31,2021,757960880.13,757960880.13,424375966.47,66927344.27,688072,拓荆科技,2022.0,2704974035.48,2021.0,0.0,True
688072,2020-12-31,A,1814069093.4,691570347.59,,688072,2020-12-31,2020,435627676.17,435627676.17,287254727.29,-11699944.22,688072,拓荆科技,2022.0,2704974035.48,2021.0,1.0,False
688072,2019-12-31,A,1074116874.19,259847317.16,,688072,2019-12-31,2019,251251546.85,251251546.85,171223934.8,-19366448.24,688072,拓荆科技,2022.0,2704974035.48,2021.0,2.0,False
688072,2018-12-31,A,926445621.22,232292115.77,,688072,2018-12-31,2018,70644026.75,70644026.75,48270366.35,-103222885.38,688072,拓荆科技,2022.0,2704974035.48,2021.0,3.0,False
688073,2021-12-31,A,906131876.38,277270876.67,,688073,2021-12-31,2021,606219126.26,606219126.26,306391280.11,97572968.2,688073,毕得医药,2022.0,1091858561.97,2021.0,0.0,True
688073,2020-12-31,A,507677215.54,143419760.07,,688073,2020-12-31,2020,391464987.98,391464987.98,178601901.27,59003560.41,688073,毕得医药,2022.0,1091858561.97,2021.0,1.0,False
688073,2019-12-31,A,265529323.87,129334082.85,,688073,2019-12-31,2019,248598603.37,248598603.37,100296415.02,-1102451.84,688073,毕得医药,2022.0,1091858561.97,2021.0,2.0,False
688075,2020-12-31,A,1100910969.61,289219997.82,,688075,2020-12-31,2020,1199766026.02,1199766026.02,289012180.13,648992193.53,688075,安旭生物,2021.0,6165884330.92,2020.0,0.0,True
688075,2019-12-31,A,218110043.81,55745329.87,,688075,2019-12-31,2019,209802274.87,209802274.87,102291730.24,54447596.32,688075,安旭生物,2021.0,6165884330.92,2020.0,1.0,False
688075,2018-12-31,A,187207364.38,84529809.72,,688075,2018-12-31,2018,163733122.96,163733122.96,80900323.54,33409312.16,688075,安旭生物,2021.0,6165884330.92,2020.0,2.0,False
688076,2020-12-31,A,1395573459.13,429548577.85,5208740.64,688076,2020-12-31,2020,566872462.41,566872462.41,237156213.82,120027896.32,688076,诺泰生物,2021.0,651291707.66,2020.0,0.0,True
688076,2019-12-31,A,1244511940.58,405536305.62,4051702.9,688076,2019-12-31,2019,371530570.22,371530570.22,173251896.34,44805949.28,688076,诺泰生物,2021.0,651291707.66,2020.0,1.0,False
688076,2018-12-31,A,1050849361.87,265467402.77,9927572.89,688076,2018-12-31,2018,255527351.37,255527351.37,101991860.69,44681177.15,688076,诺泰生物,2021.0,651291707.66,2020.0,2.0,False
688077,2019-12-31,A,783874938.2,412721460.08,,688077,2019-12-31,2019,630951036.46,630951036.46,482513155.75,57995052.58,688077,大地熊,2020.0,1654565278.08,2019.0,0.0,True
688077,2018-12-31,A,631607090.54,306576980.09,,688077,2018-12-31,2018,585598210.07,585598210.07,451044466.65,41450595.68,688077,大地熊,2020.0,1654565278.08,2019.0,1.0,False
